256,-219,-17099
958,-156,-16919
796,-262,-16957
542,-209,-16940
659,-225,-17021
675,-195,-17081
593,-188,-17032
580,-194,-17005
677,-179,-17069
655,-189,-17053
549,-201,-16936
558,-197,-16950
605,-197,-17066
561,-185,-17021
628,-209,-17021
623,-198,-16998
628,-195,-17024
551,-169,-17030
614,-166,-17000
629,-172,-17023
594,-203,-17008
593,-207,-17018
540,-188,-16975
549,-211,-16986
680,-193,-17061
627,-228,-17007
606,-194,-17088
523,-186,-17050
582,-230,-16958
712,-234,-17091
652,-217,-17072
608,-213,-16966
528,-193,-17015
595,-206,-17055
606,-187,-17027
574,-197,-17006
494,-206,-16938
593,-212,-16982
353,-138,-16980
549,-177,-17010
636,-180,-17121
656,-175,-17101
650,-181,-17068
619,-191,-17015
602,-178,-17031
572,-222,-16964
561,-208,-16971
471,-166,-16946
497,-202,-17074
361,-272,-17121
596,-167,-16964
521,-185,-17032
718,-198,-17068
802,-169,-17013
621,-227,-16996
552,-216,-17042
550,-253,-16970
608,-174,-16945
573,-258,-17042
537,-221,-17030
555,-222,-17001
503,-169,-17059
562,-163,-17010
689,-292,-17012
572,-307,-17098
576,-180,-17008
523,-94,-16999
488,-143,-17026
458,-104,-17018
539,-100,-17036
581,-5,-17026
589,-116,-17053
558,-159,-17065
509,-241,-17006
565,-226,-17050
489,-234,-16990
434,-212,-16975
433,-233,-16944
333,-157,-16907
462,-197,-17023
713,-335,-17142
631,-280,-17018
659,-312,-16989
638,-238,-17040
632,-235,-17044
606,-221,-17026
584,-297,-17034
577,-218,-17049
560,-118,-16979
765,-143,-16971
516,-141,-17082
400,-110,-17026
89,-107,-16975
372,-163,-16939
552,-161,-17083
494,-174,-17102
474,-159,-17072
528,-213,-17020
506,-241,-16947
494,-253,-16955
465,-239,-16967
508,-227,-17010
514,-212,-17006
523,-210,-17046
513,-197,-17035
343,-58,-17026
671,-314,-17088
601,-196,-17072
619,-263,-16962
516,-246,-16957
504,-172,-17010
557,-244,-17000
518,-204,-16983
539,-179,-17006
567,-175,-17046
561,-184,-17070
575,-155,-17089
559,-180,-17018
462,-167,-17004
466,-182,-17006
542,-195,-17031
528,-207,-17043
536,-198,-17006
511,-221,-17007
435,-204,-17015
383,-195,-16963
528,-235,-17033
496,-233,-17060
525,-217,-17026
567,-220,-17007
583,-245,-17052
545,-232,-17035
484,-206,-17024
491,-195,-17026
484,-200,-16984
476,-177,-17032
582,-173,-17048
507,-184,-17019
492,-182,-17022
516,-167,-17027
514,-171,-17023
546,-180,-17024
531,-227,-17000
443,-189,-16974
503,-224,-16996
503,-209,-17009
469,-218,-17008
497,-223,-17023
442,-204,-17072
441,-200,-17008
